iter	Passed	Remaining
0	60	29978
1	64	16180
2	69	11588
3	74	9246
4	79	7830
5	83	6909
6	88	6230
7	93	5720
8	97	5322
9	102	5038
10	107	4781
11	112	4579
12	117	4391
13	121	4223
14	126	4079
15	130	3945
16	134	3832
17	139	3731
18	143	3642
19	148	3562
20	153	3491
21	157	3430
22	162	3378
23	167	3325
24	172	3269
25	176	3218
26	181	3174
27	185	3127
28	189	3082
29	194	3042
30	198	3010
31	203	2978
32	208	2947
33	212	2917
34	217	2891
35	222	2864
36	226	2836
37	231	2810
38	236	2796
39	241	2772
40	245	2751
41	250	2730
42	255	2711
43	260	2695
44	264	2678
45	269	2660
46	273	2640
47	278	2623
48	283	2607
49	287	2589
50	292	2573
51	297	2561
52	301	2547
53	306	2532
54	311	2518
55	315	2504
56	320	2489
57	324	2475
58	329	2460
59	333	2445
60	337	2432
61	342	2419
62	347	2407
63	351	2396
64	356	2384
65	361	2374
66	365	2363
67	372	2367
68	377	2357
69	381	2345
70	386	2334
71	392	2333
72	397	2324
73	402	2314
74	406	2305
75	411	2297
76	416	2287
77	421	2277
78	425	2268
79	430	2259
80	435	2250
81	439	2242
82	446	2242
83	460	2279
84	470	2297
85	481	2316
86	493	2342
87	507	2375
88	518	2392
89	524	2388
90	529	2381
91	535	2374
92	541	2367
93	546	2362
94	552	2353
95	557	2345
96	562	2336
97	566	2325
98	571	2315
99	576	2304
100	580	2293
101	585	2283
102	589	2273
103	594	2264
104	599	2255
105	604	2247
106	609	2237
107	614	2229
108	618	2219
109	623	2210
110	628	2200
111	632	2192
112	637	2184
113	642	2176
114	647	2167
115	652	2159
116	657	2151
117	661	2141
118	666	2132
119	670	2124
120	675	2114
121	679	2106
122	684	2098
123	689	2091
124	694	2083
125	699	2076
126	704	2068
127	709	2060
128	713	2051
129	717	2043
130	722	2035
131	727	2026
132	731	2018
133	736	2011
134	741	2003
135	745	1995
136	750	1988
137	755	1980
138	759	1972
139	763	1964
140	768	1956
141	772	1948
142	777	1940
143	781	1932
144	786	1925
145	791	1918
146	795	1910
147	800	1903
148	805	1896
149	809	1888
150	814	1881
151	818	1873
152	822	1865
153	826	1857
154	831	1850
155	835	1843
156	840	1836
157	845	1829
158	849	1822
159	854	1815
160	859	1809
161	864	1803
162	869	1796
163	873	1790
164	878	1782
165	884	1780
166	889	1773
167	894	1767
168	898	1760
169	903	1754
170	908	1747
171	912	1740
172	917	1734
173	922	1727
174	926	1720
175	931	1714
176	936	1708
177	940	1701
178	945	1695
179	950	1688
180	954	1682
181	959	1675
182	963	1669
183	968	1662
184	972	1656
185	977	1649
186	981	1643
187	986	1637
188	991	1631
189	996	1626
190	1001	1620
191	1006	1614
192	1010	1608
193	1015	1601
194	1019	1594
195	1024	1588
196	1029	1583
197	1034	1577
198	1039	1571
199	1043	1565
200	1048	1559
201	1052	1553
202	1057	1547
203	1061	1540
204	1066	1534
205	1070	1528
206	1075	1522
207	1080	1516
208	1084	1510
209	1089	1504
210	1095	1500
211	1099	1493
212	1104	1487
213	1108	1481
214	1112	1475
215	1117	1468
216	1121	1462
217	1126	1456
218	1130	1450
219	1135	1445
220	1140	1439
221	1144	1433
222	1149	1427
223	1153	1421
224	1158	1415
225	1162	1409
226	1167	1403
227	1171	1397
228	1176	1391
229	1180	1386
230	1185	1380
231	1190	1375
232	1195	1369
233	1199	1364
234	1204	1358
235	1209	1352
236	1214	1347
237	1218	1341
238	1223	1335
239	1228	1330
240	1232	1324
241	1237	1319
242	1241	1313
243	1246	1307
244	1250	1301
245	1255	1295
246	1259	1289
247	1263	1284
248	1268	1278
249	1272	1272
250	1277	1267
251	1282	1262
252	1287	1256
253	1292	1251
254	1296	1245
255	1301	1240
256	1306	1235
257	1310	1229
258	1315	1223
259	1320	1218
260	1324	1213
261	1329	1207
262	1334	1202
263	1339	1197
264	1343	1191
265	1350	1187
266	1355	1182
267	1359	1176
268	1363	1171
269	1369	1166
270	1375	1162
271	1379	1156
272	1384	1151
273	1389	1146
274	1393	1140
275	1398	1134
276	1402	1129
277	1407	1123
278	1411	1118
279	1416	1112
280	1421	1107
281	1425	1102
282	1430	1096
283	1435	1091
284	1440	1086
285	1444	1080
286	1449	1075
287	1453	1070
288	1458	1064
289	1462	1059
290	1468	1054
291	1472	1049
292	1477	1043
293	1482	1038
294	1487	1033
295	1491	1027
296	1495	1022
297	1500	1016
298	1504	1011
299	1508	1005
300	1513	1000
301	1518	995
302	1522	990
303	1527	984
304	1531	979
305	1536	974
306	1541	968
307	1545	963
308	1549	958
309	1554	952
310	1558	947
311	1563	941
312	1568	936
313	1572	931
314	1577	926
315	1582	921
316	1586	915
317	1591	910
318	1595	905
319	1600	900
320	1604	894
321	1608	889
322	1613	884
323	1618	879
324	1622	873
325	1627	868
326	1632	863
327	1636	858
328	1640	852
329	1645	847
330	1649	842
331	1654	837
332	1658	831
333	1663	826
334	1667	821
335	1672	816
336	1677	811
337	1682	806
338	1687	801
339	1691	796
340	1696	790
341	1700	785
342	1704	780
343	1709	775
344	1714	770
345	1719	765
346	1724	760
347	1729	755
348	1733	750
349	1738	744
350	1742	739
351	1747	734
352	1751	729
353	1756	724
354	1761	719
355	1765	714
356	1770	709
357	1775	704
358	1780	699
359	1784	694
360	1789	688
361	1793	683
362	1798	678
363	1802	673
364	1807	668
365	1811	663
366	1816	658
367	1820	653
368	1825	648
369	1830	642
370	1834	637
371	1841	633
372	1846	628
373	1850	623
374	1855	618
375	1860	613
376	1866	608
377	1871	604
378	1876	599
379	1881	594
380	1886	589
381	1890	584
382	1895	579
383	1899	573
384	1904	568
385	1909	564
386	1914	558
387	1919	553
388	1923	548
389	1928	543
390	1932	538
391	1937	533
392	1941	528
393	1945	523
394	1950	518
395	1954	513
396	1959	508
397	1963	503
398	1968	498
399	1972	493
400	1977	488
401	1981	483
402	1986	478
403	1990	473
404	1995	468
405	1999	463
406	2004	458
407	2008	453
408	2013	448
409	2018	443
410	2022	438
411	2027	433
412	2032	428
413	2036	423
414	2041	418
415	2045	413
416	2050	408
417	2054	403
418	2059	398
419	2064	393
420	2069	388
421	2073	383
422	2078	378
423	2083	373
424	2087	368
425	2091	363
426	2096	358
427	2100	353
428	2105	348
429	2110	343
430	2114	338
431	2119	333
432	2124	328
433	2129	323
434	2133	318
435	2138	313
436	2142	308
437	2147	303
438	2152	299
439	2156	294
440	2161	289
441	2166	284
442	2170	279
443	2175	274
444	2179	269
445	2184	264
446	2188	259
447	2193	254
448	2197	249
449	2202	244
450	2206	239
451	2211	234
452	2216	229
453	2221	225
454	2225	220
455	2230	215
456	2234	210
457	2239	205
458	2243	200
459	2248	195
460	2252	190
461	2257	185
462	2262	180
463	2267	175
464	2271	171
465	2276	166
466	2281	161
467	2285	156
468	2290	151
469	2294	146
470	2299	141
471	2304	136
472	2308	131
473	2313	126
474	2318	122
475	2322	117
476	2330	112
477	2335	107
478	2339	102
479	2344	97
480	2350	92
481	2355	87
482	2360	83
483	2365	78
484	2369	73
485	2374	68
486	2379	63
487	2383	58
488	2388	53
489	2392	48
490	2397	43
491	2402	39
492	2406	34
493	2411	29
494	2415	24
495	2420	19
496	2424	14
497	2429	9
498	2433	4
499	2437	0
