Map;Round-Number;CT-Score;T-Score;CT-Alive;T-Alive;BombPlantSite;player0-Alive;player0-Gun;player0-EquipValue;player0-HEGrenade;player0-Smoke;player0-Flash;player0-DistancetoPlant;player0-Armor;player0-HasHelmet;player0-HP;player0-DefuseKit;player1-Alive;player1-Gun;player1-EquipValue;player1-HEGrenade;player1-Smoke;player1-Flash;player1-DistancetoPlant;player1-Armor;player1-HasHelmet;player1-HP;player1-DefuseKit;player2-Alive;player2-Gun;player2-EquipValue;player2-HEGrenade;player2-Smoke;player2-Flash;player2-DistancetoPlant;player2-Armor;player2-HasHelmet;player2-HP;player2-DefuseKit;player3-Alive;player3-Gun;player3-EquipValue;player3-HEGrenade;player3-Smoke;player3-Flash;player3-DistancetoPlant;player3-Armor;player3-HasHelmet;player3-HP;player3-DefuseKit;player4-Alive;player4-Gun;player4-EquipValue;player4-HEGrenade;player4-Smoke;player4-Flash;player4-DistancetoPlant;player4-Armor;player4-HasHelmet;player4-HP;player4-DefuseKit;CT-Win
de_cache;2;0;2;2;4;B;False;Unknown;600;False;False;False;987.892541642155;0;False;0;False;False;Unknown;1550;False;False;False;820.088070651059;0;False;0;False;True;Pistol;600;False;False;False;987.946402100507;0;False;70;False;True;Pistol;600;False;False;False;819.364963425296;0;False;79;False;False;Unknown;600;False;False;False;987.946402100507;0;False;0;False;False
de_cache;4;0;4;1;4;A;False;Unknown;5350;False;False;False;2684.69092917012;0;False;0;False;False;Unknown;4500;False;False;False;2684.69092917012;0;False;0;False;False;Unknown;5600;False;False;False;2684.69092917012;0;False;0;False;True;Rifle;5300;False;False;False;2684.69092917012;100;True;100;False;False;Unknown;4950;False;False;False;2684.69092917012;0;False;0;False;False
de_cache;5;0;5;1;4;B;False;Unknown;700;False;False;False;3273.63485162899;0;False;0;False;False;Unknown;200;False;False;False;3273.10034330676;0;False;0;False;True;Rifle;3400;False;False;True;3274.17777267964;0;False;11;False;False;Unknown;600;False;False;False;3274.17777267964;0;False;0;False;False;Unknown;700;False;False;False;3274.17777267964;0;False;0;False;False
de_cache;6;0;6;2;2;A;False;Unknown;5750;False;False;False;1595.77657538006;0;False;0;False;False;Unknown;5400;False;False;False;1920.31683034513;0;False;0;False;True;Rifle;6600;False;True;True;1920.0382496345;97;False;94;False;True;Rifle;5700;True;True;False;1594.65273905023;91;True;16;True;False;Unknown;5700;False;False;False;1920.0382496345;0;False;0;False;False
de_cache;9;1;8;3;4;B;True;Pistol;300;False;False;False;1638.83179487531;0;False;100;False;True;Rifle;4300;False;False;False;1631.49181253198;99;True;91;False;False;Unknown;1000;False;False;False;1216.4361645473;0;False;0;False;True;Pistol;300;False;False;False;1217.76747314377;0;False;57;False;False;Unknown;200;False;False;False;1216.4361645473;0;False;0;False;False
de_cache;10;1;9;2;3;A;False;Unknown;3900;False;False;False;1029.74636511542;0;False;0;False;False;Unknown;3200;False;False;False;540.582948578272;0;False;0;False;False;Unknown;6800;False;False;False;1029.74636511542;0;False;0;False;True;Rifle;4250;False;True;False;1029.74636511542;100;False;100;False;True;Rifle;4250;False;False;False;540.850100953495;93;False;58;False;False
de_cache;11;1;10;2;3;B;False;Unknown;300;False;False;False;1291.68056059652;0;False;0;False;False;Unknown;2900;False;False;False;1291.68056059652;0;False;0;False;True;Pistol;500;False;False;False;1290.28072803739;0;False;100;False;False;Unknown;600;False;False;False;1290.28072803739;0;False;0;False;True;Rifle;3200;False;False;False;2710.60261660257;0;False;64;False;False
de_cache;12;2;10;1;1;A;False;Unknown;5350;False;False;False;506.7394700728;0;False;0;False;False;Unknown;5350;False;False;False;506.7394700728;0;False;0;False;True;Rifle;4950;False;False;False;506.228682246747;100;False;100;False;False;Unknown;5000;False;False;False;506.228682246747;0;False;0;False;False;Unknown;6000;False;False;False;506.228682246747;0;False;0;False;True
de_cache;14;3;11;4;4;A;False;Unknown;6100;False;False;False;985.82332092893;0;False;0;False;True;Rifle;6150;False;False;True;1138.59691905276;100;True;72;False;True;Rifle;3800;False;True;True;1309.81787966362;96;False;74;False;True;Rifle;4500;False;False;True;3127.14340007006;100;True;100;False;True;Rifle;4100;True;False;True;1808.34242167316;100;False;100;False;False
de_cache;15;3;12;1;4;B;False;Unknown;1950;False;False;False;1352.86566773912;0;False;0;False;False;Unknown;1500;False;False;False;1352.86566773912;0;False;0;False;False;Unknown;2000;False;False;False;1352.86566773912;0;False;0;False;False;Unknown;1300;False;False;False;1353.83352498975;0;False;0;False;True;Pistol;1350;False;False;True;1353.83352498975;97;False;82;False;False
de_cache;16;12;4;1;4;B;True;Pistol;850;False;False;False;1066.09916873863;100;False;100;False;False;Unknown;850;False;False;False;1066.09916873863;0;False;0;False;False;Unknown;850;False;False;False;1066.09916873863;0;False;0;False;False;Unknown;900;False;False;False;1066.09916873863;0;False;0;False;False;Unknown;850;False;False;False;1066.09916873863;0;False;0;False;False
de_cache;17;12;5;3;3;A;True;Pistol;1700;False;False;False;661.809968703216;100;True;92;False;True;Pistol;1550;False;False;False;1035.29554809391;98;False;80;False;True;Pistol;1450;False;True;False;1302.25356635635;100;False;100;False;False;Unknown;300;False;False;False;661.809968703216;0;False;0;False;False;Unknown;1500;False;False;False;661.245240317031;0;False;0;False;False
de_cache;18;12;6;3;5;A;True;Pistol;300;False;False;False;2457.64452480495;0;False;100;False;True;Pistol;300;False;False;False;2854.47571065484;0;False;100;False;False;Unknown;200;False;False;False;2778.00709334706;0;False;0;False;False;Unknown;200;False;False;False;2457.64452480495;0;False;0;False;True;Pistol;200;False;False;False;3392.77712922245;0;False;100;False;False
de_cache;20;12;8;3;4;A;True;Pistol;800;False;False;False;1319.28979943927;0;False;100;False;True;Pistol;800;False;False;False;3476.01089881584;0;False;100;False;True;Pistol;600;False;False;False;1961.25660341426;0;False;100;False;False;Unknown;300;False;False;False;1319.28979943927;0;False;0;False;False;Unknown;1000;False;False;False;3476.01089881584;0;False;0;False;False
