iter	Passed	Remaining
0	60	30161
1	64	16174
2	69	11520
3	74	9231
4	79	7857
5	84	6950
6	89	6289
7	94	5803
8	99	5408
9	103	5081
10	108	4811
11	113	4600
12	117	4418
13	122	4248
14	126	4104
15	131	3982
16	136	3881
17	141	3778
18	145	3682
19	149	3597
20	154	3531
21	159	3462
22	164	3402
23	168	3345
24	173	3290
25	177	3242
26	182	3196
27	187	3153
28	191	3112
29	196	3071
30	200	3035
31	205	3001
32	209	2964
33	214	2934
34	219	2912
35	223	2883
36	228	2860
37	233	2836
38	238	2817
39	242	2793
40	247	2773
41	252	2751
42	256	2727
43	261	2706
44	265	2688
45	270	2669
46	275	2651
47	279	2633
48	284	2618
49	289	2602
50	293	2587
51	298	2573
52	303	2558
53	307	2543
54	312	2526
55	316	2511
56	321	2497
57	328	2504
58	333	2493
59	338	2483
60	343	2470
61	347	2457
62	352	2445
63	357	2433
64	361	2419
65	366	2408
66	371	2398
67	375	2388
68	380	2377
69	385	2368
70	390	2358
71	394	2346
72	399	2335
73	403	2324
74	408	2315
75	412	2303
76	417	2292
77	421	2282
78	426	2272
79	430	2262
80	435	2251
81	439	2242
82	444	2232
83	448	2221
84	453	2212
85	457	2202
86	461	2192
87	466	2183
88	470	2173
89	474	2163
90	479	2154
91	483	2144
92	488	2135
93	492	2127
94	497	2120
95	502	2112
96	506	2105
97	511	2097
98	515	2090
99	521	2085
100	527	2083
101	532	2077
102	537	2071
103	541	2063
104	546	2055
105	550	2047
106	555	2039
107	559	2031
108	564	2023
109	569	2017
110	574	2013
111	580	2012
112	589	2018
113	596	2018
114	600	2011
115	605	2003
116	610	1997
117	614	1989
118	621	1988
119	625	1982
120	630	1975
121	635	1967
122	639	1960
123	644	1954
124	649	1947
125	653	1939
126	658	1933
127	663	1927
128	667	1920
129	672	1913
130	676	1906
131	681	1898
132	685	1892
133	690	1885
134	695	1879
135	699	1873
136	704	1866
137	709	1860
138	714	1855
139	718	1848
140	723	1842
141	728	1836
142	733	1830
143	737	1823
144	742	1817
145	746	1810
146	751	1804
147	755	1797
148	760	1790
149	764	1783
150	768	1777
151	773	1770
152	777	1764
153	782	1758
154	787	1751
155	791	1745
156	796	1739
157	800	1732
158	804	1725
159	809	1720
160	813	1713
161	818	1707
162	823	1701
163	827	1696
164	832	1689
165	836	1683
166	841	1677
167	845	1670
168	849	1664
169	854	1658
170	859	1652
171	863	1647
172	868	1641
173	873	1635
174	877	1629
175	882	1623
176	886	1618
177	891	1612
178	896	1607
179	900	1601
180	905	1595
181	909	1589
182	914	1584
183	919	1578
184	924	1573
185	928	1567
186	933	1561
187	937	1556
188	942	1551
189	946	1545
190	951	1539
191	956	1533
192	960	1528
193	965	1522
194	969	1517
195	974	1512
196	979	1506
197	984	1501
198	988	1495
199	993	1490
200	998	1484
201	1003	1479
202	1007	1474
203	1012	1468
204	1017	1463
205	1021	1458
206	1026	1453
207	1031	1447
208	1036	1442
209	1040	1437
210	1045	1431
211	1050	1426
212	1054	1421
213	1059	1416
214	1064	1410
215	1069	1405
216	1073	1400
217	1078	1395
218	1083	1389
219	1087	1384
220	1092	1379
221	1097	1374
222	1101	1368
223	1106	1363
224	1111	1358
225	1116	1353
226	1120	1347
227	1125	1342
228	1130	1337
229	1134	1332
230	1139	1326
231	1143	1321
232	1148	1315
233	1152	1310
234	1157	1305
235	1161	1299
236	1166	1294
237	1171	1289
238	1175	1284
239	1180	1278
240	1184	1273
241	1189	1268
242	1194	1263
243	1199	1258
244	1203	1253
245	1208	1248
246	1213	1242
247	1218	1237
248	1222	1232
249	1226	1226
250	1231	1221
251	1235	1215
252	1240	1211
253	1245	1205
254	1249	1200
255	1254	1195
256	1259	1190
257	1263	1185
258	1267	1179
259	1272	1174
260	1277	1169
261	1281	1164
262	1286	1159
263	1291	1154
264	1296	1149
265	1300	1144
266	1305	1139
267	1310	1134
268	1314	1128
269	1319	1123
270	1323	1118
271	1328	1113
272	1333	1108
273	1338	1103
274	1342	1098
275	1347	1093
276	1351	1088
277	1356	1083
278	1361	1078
279	1365	1073
280	1370	1068
281	1375	1062
282	1379	1058
283	1384	1052
284	1388	1047
285	1393	1042
286	1397	1037
287	1402	1032
288	1406	1027
289	1411	1021
290	1415	1016
291	1420	1011
292	1424	1006
293	1429	1001
294	1433	996
295	1438	991
296	1442	986
297	1447	981
298	1452	976
299	1456	971
300	1461	966
301	1465	960
302	1469	955
303	1474	950
304	1479	945
305	1484	940
306	1488	935
307	1493	930
308	1497	925
309	1502	920
310	1506	915
311	1511	910
312	1515	905
313	1520	900
314	1525	895
315	1529	890
316	1534	885
317	1538	880
318	1543	875
319	1548	870
320	1552	865
321	1557	860
322	1561	855
323	1566	850
324	1570	845
325	1575	840
326	1579	835
327	1584	830
328	1588	825
329	1593	820
330	1598	815
331	1603	811
332	1608	806
333	1613	801
334	1617	796
335	1622	791
336	1627	787
337	1631	782
338	1636	777
339	1640	772
340	1645	767
341	1651	763
342	1656	758
343	1661	753
344	1666	748
345	1671	743
346	1676	739
347	1680	734
348	1685	729
349	1689	724
350	1694	719
351	1699	714
352	1704	709
353	1709	705
354	1714	700
355	1718	695
356	1723	690
357	1727	685
358	1732	680
359	1736	675
360	1741	670
361	1746	665
362	1751	660
363	1755	656
364	1760	651
365	1765	646
366	1770	641
367	1774	636
368	1779	631
369	1783	626
370	1788	621
371	1793	616
372	1797	612
373	1802	607
374	1807	602
375	1812	597
376	1816	592
377	1821	587
378	1826	583
379	1830	578
380	1835	573
381	1840	568
382	1845	563
383	1850	558
384	1855	554
385	1859	549
386	1864	544
387	1869	539
388	1873	534
389	1877	529
390	1882	524
391	1887	519
392	1891	514
393	1896	510
394	1901	505
395	1906	500
396	1911	495
397	1915	491
398	1920	486
399	1925	481
400	1930	476
401	1935	471
402	1940	467
403	1945	462
404	1950	457
405	1954	452
406	1959	447
407	1964	442
408	1968	438
409	1973	433
410	1978	428
411	1982	423
412	1987	418
413	1992	413
414	1997	409
415	2001	404
416	2006	399
417	2011	394
418	2016	389
419	2020	384
420	2026	380
421	2030	375
422	2035	370
423	2040	365
424	2045	360
425	2049	356
426	2054	351
427	2059	346
428	2064	341
429	2068	336
430	2073	331
431	2077	327
432	2082	322
433	2086	317
434	2091	312
435	2096	307
436	2101	302
437	2106	298
438	2111	293
439	2116	288
440	2121	283
441	2126	279
442	2131	274
443	2136	269
444	2142	264
445	2148	260
446	2153	255
447	2157	250
448	2162	245
449	2166	240
450	2171	235
451	2176	231
452	2181	226
453	2186	221
454	2193	216
455	2199	212
456	2203	207
457	2208	202
458	2213	197
459	2217	192
460	2222	188
461	2227	183
462	2232	178
463	2237	173
464	2241	168
465	2246	163
466	2251	159
467	2256	154
468	2261	149
469	2265	144
470	2270	139
471	2275	134
472	2279	130
473	2284	125
474	2289	120
475	2294	115
476	2299	110
477	2304	106
478	2308	101
479	2313	96
480	2317	91
481	2322	86
482	2327	81
483	2331	77
484	2336	72
485	2341	67
486	2346	62
487	2350	57
488	2355	52
489	2359	48
490	2364	43
491	2368	38
492	2373	33
493	2377	28
494	2382	24
495	2387	19
496	2392	14
497	2397	9
498	2401	4
499	2405	0
